FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
143,CUERPO DE BOMBEROS DE CONCHALI,"MATERIALES PELIGROSOS, RESCATE VEHICULAR",6,HUECHURABA,BOMBEROS,SANTIAGO,143, , 
144,CUERPO DE BOMBEROS DE CONCHALI,METRIALES PELIGROSOS,7,CONCHALI,BOMBEROS,SANTIAGO,144, , 
145,CUERPO DE BOMBEROS DE SAN BERNARDO, ,1,SAN BERNARDO,BOMBEROS,SANTIAGO,145, , 
146,CUERPO DE BOMBEROS DE SAN BERNARDO, ,2,SAN BERNARDO,BOMBEROS,SANTIAGO,146, , 
147,CUERPO DE BOMBEROS DE SAN BERNARDO, ,3,SAN BERNARDO,BOMBEROS,SANTIAGO,147, , 
148,CUERPO DE BOMBEROS DE SAN BERNARDO, ,4,EL BOSQUE,BOMBEROS,SANTIAGO,148, , 
149,CUERPO DE BOMBEROS DE SAN BERNARDO, ,6,SAN BERNARDO,BOMBEROS,SANTIAGO,149, , 
150,BRIGADA DE INVESTIGACION CRIMINAL CONCHALI,CONCHALI, ,CONCHALI,INVESTIGACIONES,SANTIAGO,150, , 
151,CUERPO DE BOMBEROS DE CONCHALI,"MATERIALES PELIGROSOS, RESCATE VEHICULAR",5,HUECHURABA,BOMBEROS,SANTIAGO,151, , 
152,CUERPO DE BOMBEROS DE CONCHALI,"RESCATE EN ALTURA, ESPACIOS CONFINADOS Y CUERDAS",4,CONCHALI,BOMBEROS,SANTIAGO,152, , 
153,CUERPO DE BOMBEROS DE SANTIAGO,"AGUA, HAZMAT",17,ESTACION CENTRAL,BOMBEROS,SANTIAGO,153, , 
154,BRIGADA DE INVESTIGACION CRIMINAL DE SANTIAGO SUR,SANTIAGO, ,INDEPENDENCIA,INVESTIGACIONES,SANTIAGO,154, , 
155,BRIGADA DE INVESTIGACION CRIMINAL DE SANTIAGO,SANTIAGO, ,INDEPENDENCIA,INVESTIGACIONES,SANTIAGO,155, , 
156,BRIGADA DE INVESTIGACION DE DELITOS ECONOMICOS METROPOLITANA,SANTIAGO, ,INDEPENDENCIA,INVESTIGACIONES,SANTIAGO,156, , 
157,BRIGADA DE DELITOS SEXUALES Y MENORES,SANTIAGO, ,INDEPENDENCIA,INVESTIGACIONES,SANTIAGO,157, , 
158,BRIGADA DE INVESTIGACION CRIMINAL LA CISTERNA,LAS CISTERNA, ,LA CISTERNA,INVESTIGACIONES,SANTIAGO,158, , 
159,BRIGADA DE INVESTIGACION CRIMINAL LA CISTERNA,EL BOSQUE, ,LA CISTERNA,INVESTIGACIONES,SANTIAGO,159, , 
160,BRIGADA DE INVESTIGACION CRIMINAL LA PINTANA,LA PINTANA, ,LA PINTANA,INVESTIGACIONES,SANTIAGO,160, , 
161,CUERPO DE BOMBEROS DE MAIPU,AGUA Y RESCATE,5,MAIPU,BOMBEROS,SANTIAGO,161, , 
162,CUERPO DE BOMBEROS DE MAIPU,AGUA,7,MAIPU,BOMBEROS,SANTIAGO,162, , 
163,CUERPO DE BOMBEROS DE MAIPU,AGUA,8,MAIPU,BOMBEROS,SANTIAGO,163, , 
164,CUERPO DE BOMBEROS DE MELIPILLA, ,2,MELIPILLA,BOMBEROS,POMAIRE,164, , 
165,CUERPO DE BOMBEROS DE MELIPILLA, ,4,MELIPILLA,BOMBEROS,MELIPILLA,165, , 
166,BRIGADA DE INVESTIGACION CRIMINAL MELIPILLA,MARIA PINTO, ,MELIPILLA,INVESTIGACIONES,MELIPILLA,166, , 
167,BRIGADA DE INVESTIGACION CRIMINAL MELIPILLA,ALHUE, ,MELIPILLA,INVESTIGACIONES,MELIPILLA,167, , 
168,BRIGADA DE INVESTIGACION CRIMINAL MELIPILLA,SAN PEDRO, ,MELIPILLA,INVESTIGACIONES,MELIPILLA,168, , 
169,BRIGADA DE INVESTIGACION CRIMINAL MELIPILLA,MELIPILLA, ,MELIPILLA,INVESTIGACIONES,MELIPILLA,169, , 
170,CUERPO DE BOMBEROS DE MELIPILLA, ,1,MELIPILLA,BOMBEROS,POMAIRE,170, , 
171,CUERPO DE BOMBEROS DE NUNOA,AGUA,1,NUNOA,BOMBEROS,SANTIAGO,171, , 
