FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
1,Tenencia Isla de Maipo, ,PREFECTURA SANTIAGO OCCIDENTE,ISLA DE MAIPO,CARABINEROS,ISLA DE MAIPO,1, ,TENENCIA
2,Tenencia El Monte, ,PREFECTURA SANTIAGO OCCIDENTE,EL MONTE,CARABINEROS,EL MONTE,2, ,TENENCIA
3,23a Comisaria de Talagante, ,PREFECTURA SANTIAGO OCCIDENTE,TALAGANTE,CARABINEROS,TALAGANTE,3, ,COMISARIA
4,24a Comisaria de Melipilla, ,PREFECTURA SANTIAGO OCCIDENTE,MELIPILLA,CARABINEROS,POMAIRE,4, ,COMISARIA
5,Subcomisaria Calera de Tango, ,PREFECTURA SANTIAGO SUR,CALERA DE TANGO,CARABINEROS,BAJOS DE SAN AGUSTIN,5, ,SUBCOMISARIA
6,Subcomisaria Malloco, ,PREFECTURA SANTIAGO OCCIDENTE,PENAFLOR,CARABINEROS,PENAFLOR,6, ,SUBCOMISARIA
7,Subcomisaria Pe̱aflor, ,PREFECTURA SANTIAGO OCCIDENTE,PENAFLOR,CARABINEROS,PENAFLOR,7, ,SUBCOMISARIA
8,Tenencia Carreteras Padre Hurtado, ,PREFECTURA SANTIAGO OCCIDENTE,PADRE HURTADO,CARABINEROS,PADRE HURTADO,8, ,TENENCIA
9,2a. Comisaria Santiago., ,PREFECTURA SANTIAGO CENTRAL,SANTIAGO,CARABINEROS,SANTIAGO,9, ,COMISARIA
10,4a. Comisaria Santiago., ,PREFECTURA SANTIAGO CENTRAL,SANTIAGO,CARABINEROS,SANTIAGO,10, ,COMISARIA
11,Subcomisaria Motorizada, ,PREFECTURA SANTIAGO CENTRAL,SAN MIGUEL,CARABINEROS,SANTIAGO,11, ,SUBCOMISARIA
12,5a. Comisaria Conchali., ,PREFECTURA SANTIAGO NORTE,INDEPENDENCIA,CARABINEROS,SANTIAGO,12, ,COMISARIA
13,Subcomisaria Eneas Gonel, ,PREFECTURA SANTIAGO NORTE,CONCHALI,CARABINEROS,SANTIAGO,13, ,SUBCOMISARIA
14,Subcomisaria Conchali Norte, ,PREFECTURA SANTIAGO NORTE,CONCHALI,CARABINEROS,SANTIAGO,14, ,SUBCOMISARIA
15,6a. Comisaria Recoleta. ., ,PREFECTURA SANTIAGO NORTE,RECOLETA,CARABINEROS,SANTIAGO,15, ,COMISARIA
16,Subcomisaria La Pincoya, ,PREFECTURA SANTIAGO NORTE,HUECHURABA,CARABINEROS,SANTIAGO,16, ,SUBCOMISARIA
17,Tenencia Jose Santos Ossa, ,PREFECTURA SANTIAGO NORTE,RECOLETA,CARABINEROS,SANTIAGO,17, ,TENENCIA
18,Tenencia El Salto, ,PREFECTURA SANTIAGO NORTE,RECOLETA,CARABINEROS,SANTIAGO,18, ,TENENCIA
19,7a. Comisaria Renca., ,PREFECTURA SANTIAGO NORTE,QUILICURA,CARABINEROS,SANTIAGO,19, ,COMISARIA
20,9a. Comisaria Independencia, ,PREFECTURA SANTIAGO NORTE,RECOLETA,CARABINEROS,SANTIAGO,20, ,COMISARIA
