FID,nombre,direccion,comuna,tipo
105,CULTURAL DE NUNOA,4280 IRARRAZAVAL,NUNOA,CENTRO CULTURAL
106,CULTURAL DE ESPANA,927 PROVIDENCIA,PROVIDENCIA,CENTRO CULTURAL
107,CULTURAL DE PROVIDENCIA,1995 AVDA 11 DE SEPTIEMBRE,PROVIDENCIA,CENTRO CULTURAL
108,CASA DE LA CULTURA DE RECOLETA,670 PEDRO DONOSO,RECOLETA,CENTRO CULTURAL
109,CENTRO CULTURAL ESPANTAGRUELICO,50 DARDIGNAC,RECOLETA,CENTRO CULTURAL
110,BALMACEDA 1215,1215 BALMACEDA,SANTIAGO,CENTRO CULTURAL
111,BIBLIOTECA DE SANTIAGO,151 MATUCANA,SANTIAGO,CENTRO CULTURAL
112,CENTRO ARTE ALAMEDA,139 LIBER BERNARDO OHIGGINS,SANTIAGO,CENTRO CULTURAL
113,CENTRO CULTURAL N'AITUN,453 RICARDO CUMMING,SANTIAGO,CENTRO CULTURAL
114,CORPORACION CULTURAL CCHC,1465 ALONSO OVALLE,SANTIAGO,CENTRO CULTURAL
115,GALPON VICTOR JARA,2146 HUERFANOS,SANTIAGO,CENTRO CULTURAL
116,INSTITUTO DE CIENCIAS ALEJANDRO LIPSCHUTZ,350 RICARDO CUMMING,SANTIAGO,CENTRO CULTURAL
117,CASAS DE LO MATTA,9350 PDTE KENNEDY,VITACURA,CENTRO CULTURAL
118,CASA DE LA CULTURA DE PENALOLEN,8735 GRECIA,PENALOLEN,CENTRO CULTURAL
119,ALDEA DEL ENCUENTRO,9750 LARRAIN,LA REINA,CENTRO CULTURAL
120,PLANETARIO USACH,3349 LIBER BERNARDO OHIGGINS,ESTACION CENTRAL,CENTRO CULTURAL
121,SANTUARIO DEL PADRE HURTADO,1090 GRAL VELASQUEZ,ESTACION CENTRAL,CENTRO CULTURAL
122,CENTRO CULTURAL HERRERA 508,508 HERRERA,SANTIAGO,CENTRO CULTURAL
123,JUVENTUD PROVIDENCIA,101 MANUEL MONTT,PROVIDENCIA,CENTRO CULTURAL
124,INSTITUTO CHILENO FRANCES,176 FRANCISCO NOGUERA,PROVIDENCIA,CENTRO CULTURAL
125,CASA DE LA JUVENTUD SAN JOAQUIN,5369 PINTOR MURILLO,SAN JOAQUIN,CENTRO CULTURAL
126,CORPORACION CULTURAL DE SAN JOAQUIN,2606 STA ROSA,SAN JOAQUIN,CENTRO CULTURAL
127,CORPORACION CULTURAL DE LA FLORIDA,6792 SERAFIN ZAMORA,LA FLORIDA,CENTRO CULTURAL
